0;1;2;1;2
0;1;2;1;4
0;1;2;1;5
0;1;2;3;2
0;1;2;3;4
0;1;2;3;7
0;1;2;6;2
0;1;2;6;5
0;1;2;6;7
0;1;4;1;2
0;1;4;1;4
0;1;4;1;5
0;1;4;3;2
0;1;4;3;4
0;1;4;3;7
0;1;4;8;4
0;1;4;8;5
0;1;4;8;7
0;1;5;1;2
0;1;5;1;4
0;1;5;1;5
0;1;5;6;2
0;1;5;6;5
0;1;5;6;7
0;1;5;8;4
0;1;5;8;5
0;1;5;8;7
0;2;1;2;1
0;2;1;2;3
0;2;1;2;6
0;2;1;4;1
0;2;1;4;3
0;2;1;4;8
0;2;1;5;1
0;2;1;5;6
0;2;1;5;8
0;2;3;2;1
0;2;3;2;3
0;2;3;2;6
0;2;3;4;1
0;2;3;4;3
0;2;3;4;8
0;2;3;7;3
0;2;3;7;6
0;2;3;7;8
0;2;6;2;1
0;2;6;2;3
0;2;6;2;6
0;2;6;5;1
0;2;6;5;6
0;2;6;5;8
0;2;6;7;3
0;2;6;7;6
0;2;6;7;8
0;3;2;1;2
0;3;2;1;4
0;3;2;1;5
0;3;2;3;2
0;3;2;3;4
0;3;2;3;7
0;3;2;6;2
0;3;2;6;5
0;3;2;6;7
0;3;4;1;2
0;3;4;1;4
0;3;4;1;5
0;3;4;3;2
0;3;4;3;4
0;3;4;3;7
0;3;4;8;4
0;3;4;8;5
0;3;4;8;7
0;3;7;3;2
0;3;7;3;4
0;3;7;3;7
0;3;7;6;2
0;3;7;6;5
0;3;7;6;7
0;3;7;8;4
0;3;7;8;5
0;3;7;8;7
0;4;1;2;1
0;4;1;2;3
0;4;1;2;6
0;4;1;4;1
0;4;1;4;3
0;4;1;4;8
0;4;1;5;1
0;4;1;5;6
0;4;1;5;8
0;4;3;2;1
0;4;3;2;3
0;4;3;2;6
0;4;3;4;1
0;4;3;4;3
0;4;3;4;8
0;4;3;7;3
0;4;3;7;6
0;4;3;7;8
0;4;8;4;1
0;4;8;4;3
0;4;8;4;8
0;4;8;5;1
0;4;8;5;6
0;4;8;5;8
0;4;8;7;3
0;4;8;7;6
0;4;8;7;8
0;5;1;2;1
0;5;1;2;3
0;5;1;2;6
0;5;1;4;1
0;5;1;4;3
0;5;1;4;8
0;5;1;5;1
0;5;1;5;6
0;5;1;5;8
0;5;6;2;1
0;5;6;2;3
0;5;6;2;6
0;5;6;5;1
0;5;6;5;6
0;5;6;5;8
0;5;6;7;3
0;5;6;7;6
0;5;6;7;8
0;5;8;4;1
0;5;8;4;3
0;5;8;4;8
0;5;8;5;1
0;5;8;5;6
0;5;8;5;8
0;5;8;7;3
0;5;8;7;6
0;5;8;7;8
0;6;2;1;2
0;6;2;1;4
0;6;2;1;5
0;6;2;3;2
0;6;2;3;4
0;6;2;3;7
0;6;2;6;2
0;6;2;6;5
0;6;2;6;7
0;6;5;1;2
0;6;5;1;4
0;6;5;1;5
0;6;5;6;2
0;6;5;6;5
0;6;5;6;7
0;6;5;8;4
0;6;5;8;5
0;6;5;8;7
0;6;7;3;2
0;6;7;3;4
0;6;7;3;7
0;6;7;6;2
0;6;7;6;5
0;6;7;6;7
0;6;7;8;4
0;6;7;8;5
0;6;7;8;7
0;7;3;2;1
0;7;3;2;3
0;7;3;2;6
0;7;3;4;1
0;7;3;4;3
0;7;3;4;8
0;7;3;7;3
0;7;3;7;6
0;7;3;7;8
0;7;6;2;1
0;7;6;2;3
0;7;6;2;6
0;7;6;5;1
0;7;6;5;6
0;7;6;5;8
0;7;6;7;3
0;7;6;7;6
0;7;6;7;8
0;7;8;4;1
0;7;8;4;3
0;7;8;4;8
0;7;8;5;1
0;7;8;5;6
0;7;8;5;8
0;7;8;7;3
0;7;8;7;6
0;7;8;7;8
0;8;4;1;2
0;8;4;1;4
0;8;4;1;5
0;8;4;3;2
0;8;4;3;4
0;8;4;3;7
0;8;4;8;4
0;8;4;8;5
0;8;4;8;7
0;8;5;1;2
0;8;5;1;4
0;8;5;1;5
0;8;5;6;2
0;8;5;6;5
0;8;5;6;7
0;8;5;8;4
0;8;5;8;5
0;8;5;8;7
0;8;7;3;2
0;8;7;3;4
0;8;7;3;7
0;8;7;6;2
0;8;7;6;5
0;8;7;6;7
0;8;7;8;4
0;8;7;8;5
0;8;7;8;7
